,URL,Has Features,Features,Domain count,Category,Cat. Source,Getter,Mapper
,https://gitlab.com/quidsup/notrack-blocklists/raw/master/notrack-blocklist.txt,yes,tracker/advertising/malware,"16,264",mixed,txt,-\s(.*),Advertising=ads;Tracker=ads
,https://raw.githubusercontent.com/AdAway/adaway.github.io/master/hosts.txt,no,,"11,000",ads,this,,
,https://raw.githubusercontent.com/bkrcrc/turk-adlist/master/hosts,no,,"1,200",ads,this,,
,https://raw.githubusercontent.com/Yhonay/antipopads/master/hosts,no,,754,ads,this,,
,https://raw.githubusercontent.com/vokins/yhosts/master/hosts.txt,no,,"10,000",unknown,this,,
,https://raw.githubusercontent.com/FadeMind/hosts.extras/master/add.2o7Net/hosts,no,,"2,000",ads,this,,
,https://pgl.yoyo.org/adservers/serverlist.php?hostformat=hosts&mimetype=plaintext&useip=0.0.0.0,no,,"3,600",ads,this,,
,https://raw.githubusercontent.com/Dawsey21/Lists/master/adblock-list.txt,no,,"6,500",ads,this,,
,https://pgl.yoyo.org/as/serverlist.php?hostformat=hosts,no,,"3,600",ads,this,,
,https://raw.githubusercontent.com/MajkiIT/polish-ads-filter/master/polish-pihole-filters/hostfile.txt,no,,185,ads,this,,
,https://raw.githubusercontent.com/azet12/KADhosts/master/KADhosts.txt,no,,"75,000",ads,this,,
,https://raw.githubusercontent.com/hoshsadiq/adblock-nocoin-list/master/hosts.txt,no,,731,ads,this,,
,https://gitlab.com/ZeroDot1/CoinBlockerLists/raw/master/list_browser.txt,no,,"3,600",ads,this,,
,https://www.github.developerdan.com/hosts/lists/ads-and-tracking-extended.txt,no,,"430,000",ads,this,,
,https://raw.githubusercontent.com/mitchellkrogza/Badd-Boyz-Hosts/master/hosts,no,,"1,400",cryptomining,this,,
,https://s3.amazonaws.com/lists.disconnect.me/simple_malvertising.txt,no,,"1,400",malware,this,,
,https://raw.githubusercontent.com/StevenBlack/hosts/master/data/StevenBlack/hosts,no,,"2,300",malware,this,,
,http://security-research.dyndns.org/pub/malware-feeds/ponmocup-infected-domains-shadowserver.csv,no,,57,malware,this,,
,https://urlhaus.abuse.ch/downloads/csv/,yes,"Dateadded (UTC), URL, URL status, Threat, Associated tags, Link to URLhaus entry, Reporter","2,500,000",malware,this,,
,https://raw.githubusercontent.com/StevenBlack/hosts/master/data/StevenBlack/hosts,no,,"2,300",malware,this,,
,https://winhelp2002.mvps.org/hosts.txt,no,,"9,900",malware,this,,
,https://phishing.army/download/phishing_army_blocklist_extended.txt,no,,"1,500,000",phishing,this,,
,https://dbl.oisd.nl/,no,,"1,034,679",unknown,this,,
,http://benkow.cc/export.php,yes,type,"12,000",malware,csv,;1,Phishing=phishing;Spam=spam;.*=malware
,https://www.github.developerdan.com/hosts/lists/ads-and-tracking-extended.txt,no,,"429,000",ads,this,,
,https://github.com/anudeepND/blacklist/blob/master/adservers.txt,no,,"45,000",ads,this,,
,https://zenodo.org/record/3965397#.Y2ApBNLMJhE,no,,"90,000,000",DGA,this,,
